target_url,target_url_domain,target_url_agency_owner,target_url_bureau_owner,Analysis
125fw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
126arw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
127wg.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
129rqw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
12af.acc.af.mil,af.mil,Department of Defense,Air Force,Site errors out
12cab.army.mil,army.mil,Department of Defense,Army,www. required or site not present at targeted address
12ftw.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
12thmcd.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
130aw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
131bw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
132dwing.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
133aw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
134arw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required
136aw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
137sow.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
138fw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
139aw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
13thmeu.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
140wg.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
141arw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
142wg.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
143aw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
144fw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
145aw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
146aw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
147atkw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
148fw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
149fw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
150sow.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
151arw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
152aw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
153aw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
154wg.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
155arw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
156wg.ang.af.mil,af.mil,Department of Defense,Air Force,www. required
157arw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
158fw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required
159fw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
15af.acc.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
15thmeu.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required or site not present at targeted address
15wing.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
161arw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required
162wing.ang.af.mil,af.mil,Department of Defense,Air Force,www. required
163atkw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
164aw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
165aw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
166aw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
167aw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
168wg.ang.af.mil,af.mil,Department of Defense,Air Force,www. required
169fw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
16af.af.mil,af.mil,Department of Defense,Air Force,www. required
171arw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
172aw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
173fw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
174attackwing.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
176wg.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
177fw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
178wing.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
180fw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
182aw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
183wg.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
184iw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
185arw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
186arw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
187fw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
188wg.ang.af.mil,af.mil,Department of Defense,Air Force,www. required
189aw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
190arw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required
192wg.ang.af.mil,af.mil,Department of Defense,Air Force,www. required
193sow.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
194wg.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
195wg.ang.af.mil,af.mil,Department of Defense,Air Force,www. required
19bcd.army.mil,army.mil,Department of Defense,Army,www. required or site not present at targeted address
1af.acc.af.mil,af.mil,Department of Defense,Air Force,Site errors out
1stmardiv.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
1stmaw.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
1stmcd.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
1stmlg.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
1tsc.army.mil,army.mil,Department of Defense,Army,www. required or site not present at targeted address
20af.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
20cbrne.army.mil,army.mil,Department of Defense,Army,www. required or site not present at targeted address
21tsc.army.mil,army.mil,Department of Defense,Army,www. required or site not present at targeted address
22007apply.gov,22007apply.gov,U.S. Department of Agriculture,U.S. Department of Agriculture,Resolve to different Final URLs depending on if www. is included or not
22af.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
22ndmeu.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
24thmeu.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
26thmeu.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
29palms.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required or site not present at targeted address
2af.aetc.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
2cr.army.mil,army.mil,Department of Defense,Army,www. required or site not present at targeted address
2id.korea.army.mil,army.mil,Department of Defense,Army,Site errors out
2ndmardiv.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required or site not present at targeted address
2ndmarines.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
2ndmaw.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required or site not present at targeted address
2ndmlg.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
2sigbde.army.mil,army.mil,Department of Defense,Army,www. required
301fw.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required
302aw.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
307bw.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required
310sw.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required
315aw.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required
31stmeu.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
33fw.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
349amw.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
352sow.af.mil,af.mil,Department of Defense,Air Force,www. required
353sow.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
37trw.af.mil,af.mil,Department of Defense,Air Force,www. required
388fw.acc.af.mil,af.mil,Department of Defense,Air Force,Site errors out
3rdmardiv.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
3rdmaw.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required or site not present at targeted address
3rdmeb.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
3rdmlg.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
403wg.afrc.af.mil,af.mil,Department of Defense,Air Force,Site errors out
409csb.army.mil,army.mil,Department of Defense,Army,www. required
413ftg.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required
419fw.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
41fab.army.mil,army.mil,Department of Defense,Army,www. required or site not present at targeted address
433aw.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
442fw.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
445aw.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required
446aw.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required
459arw.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
477fg.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required
492sow.af.mil,af.mil,Department of Defense,Air Force,www. required
4af.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
4thmcd.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required or site not present at targeted address
501csw.usafe.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
505ccw.acc.af.mil,af.mil,Department of Defense,Air Force,www. required
507arw.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required
512aw.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
514amw.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required
521amow.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
53rdwing.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
552acw.acc.af.mil,af.mil,Department of Defense,Air Force,www. required
557weatherwing.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
55comcam.army.mil,army.mil,Department of Defense,Army,www. required or site not present at targeted address
5af.pacaf.af.mil,af.mil,Department of Defense,Air Force,www. required
618tacc.amc.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
620forecasts.app.cloud.gov,cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",Site errors out
624rsg.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required
6thmarines.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
6thmcd.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
7af.pacaf.af.mil,af.mil,Department of Defense,Air Force,www. required
7atc.army.mil,army.mil,Department of Defense,Army,www. required or site not present at targeted address
8af.af.mil,af.mil,Department of Defense,Air Force,www. required
8thmarines.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required or site not present at targeted address
8thmcd.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required or site not present at targeted address
9-11commission.gov,9-11commission.gov,National Archives and Records Administration,National Archives and Records Administration,Resolve to different Final URLs depending on if www. is included or not
908aw.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
911commission.gov,911commission.gov,National Archives and Records Administration,National Archives and Records Administration,Resolve to different Final URLs depending on if www. is included or not
913ag.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required
916arw.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required
919sow.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
920rqw.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
926wing.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
927arw.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required
931arw.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required
932aw.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
940arw.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
944fw.afrc.af.mil,af.mil,Department of Defense,Air Force,Site errors out
960cyber.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
9thmcd.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required or site not present at targeted address
aatc.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
abarrshvuat.ofac.treas.gov,treas.gov,Department of the Treasury,Department of the Treasury - DO,Site errors out
abclab.jpl.nasa.gov,nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,Site errors out
abp.cr.usgs.gov,usgs.gov,Department of the Interior,U.S. Geological Survey,Site errors out
acc.af.mil,af.mil,Department of Defense,Air Force,www. required
access-board.gov,access-board.gov,United States Access Board,U.S Access Board,www. required
access.fda.gov,fda.gov,Department of Health and Human Services,U. S. Food and Drug Administration,www. required or site not present at targeted address
accessdata.fda.gov,fda.gov,Department of Health and Human Services,U. S. Food and Drug Administration,www. required or site not present at targeted address
accesstocare.va.gov,va.gov,Department of Veterans Affairs,"Office of Information and Technology, IT Operations and Services (ITOPS)",www. required or site not present at targeted address
accpiv.treasury.gov,treasury.gov,Department of the Treasury,Department of the Treasury - OCIO,www. required or site not present at targeted address
accsso.treasury.gov,treasury.gov,Department of the Treasury,Department of the Treasury - OCIO,www. required or site not present at targeted address
aci.nichd.nih.gov,nih.gov,Department of Health and Human Services,National Institutes of Health,www. required or site not present at targeted address
acmc.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
acq.osd.mil,osd.mil,Department of Defense,Army,www. required
acwi.gov,acwi.gov,Department of the Interior,Advisory Committee on Water Information,www. required
adams.nrc.gov,nrc.gov,Nuclear Regulatory Commission,Nuclear Regulatory Commission,www. required or site not present at targeted address
adamswebsearch2.nrc.gov,nrc.gov,Nuclear Regulatory Commission,Nuclear Regulatory Commission,Site errors out
adfs.nsf.gov,nsf.gov,National Science Foundation,National Science Foundation,Site errors out
adfs.pnnl.gov,pnnl.gov,Department of Energy,Pacific Northwest National Laboratory,Site errors out
adlnet.gov,adlnet.gov,Department of Defense,Advanced Distributed Learning Initiative,Resolve to different Final URLs depending on if www. is included or not
adoptionusca.state.gov,state.gov,Department of State,Bureau of Global Public Affairs (GPA),Site errors out
adr.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
aepubs.eur.army.mil,army.mil,Department of Defense,Army,www. required or site not present at targeted address
aetc.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
af.mil,af.mil,Department of Defense,Air Force,www. required
afaa.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
afadvantage.gov,afadvantage.gov,General Services Administration,"GSA, FAS, Advantage",www. required
afams.af.mil,af.mil,Department of Defense,Air Force,www. required
afcec.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
afcent.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
afdw.af.mil,af.mil,Department of Defense,Air Force,www. required
affordableconnectivity.gov,affordableconnectivity.gov,Federal Communications Commission,Office of the Managing Director,Resolve to different Final URLs depending on if www. is included or not
afgsc.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
afhistory.af.mil,af.mil,Department of Defense,Air Force,www. required
afhistoryandmuseums.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
afhra.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
afimsc.af.mil,af.mil,Department of Defense,Air Force,www. required
afinspectorgeneral.af.mil,af.mil,Department of Defense,Air Force,www. required
afjag.af.mil,af.mil,Department of Defense,Air Force,www. required
aflcmc.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
afmaa.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
afnwc.af.mil,af.mil,Department of Defense,Air Force,www. required
afod.eur.army.mil,army.mil,Department of Defense,Army,www. required or site not present at targeted address
afotec.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
afpc.af.mil,af.mil,Department of Defense,Air Force,www. required
afrc.af.mil,af.mil,Department of Defense,Air Force,www. required
afsbeurope.army.mil,army.mil,Department of Defense,Army,www. required or site not present at targeted address
afsc.af.mil,af.mil,Department of Defense,Air Force,www. required
afsfc.af.mil,af.mil,Department of Defense,Air Force,www. required
afsoc.af.mil,af.mil,Department of Defense,Air Force,www. required
afspc.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
aft3.af.mil,af.mil,Department of Defense,Air Force,www. required
aftc.af.mil,af.mil,Department of Defense,Air Force,www. required
afwerx.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
agc.army.mil,army.mil,Department of Defense,Army,www. required or site not present at targeted address
ai-workshop-2020.jpl.nasa.gov,nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,www. required or site not present at targeted address
aiaccelerator.af.mil,af.mil,Department of Defense,Air Force,www. required
aidscapeuat.usaid.gov,usaid.gov,U.S. Agency for International Development,M/CIO,www. required or site not present at targeted address
air663.app.cloud.gov,cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",Site errors out
airdomainintelligence.mil,airdomainintelligence.mil,Department of Defense,Air Force,www. required or site not present at targeted address
airforcebes.af.mil,af.mil,Department of Defense,Air Force,Site errors out
airforcemedicine.af.mil,af.mil,Department of Defense,Air Force,www. required
airforcesmallbiz.af.mil,af.mil,Department of Defense,Air Force,www. required
airforcespecialtactics.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
airknowledge.gov,airknowledge.gov,Environmental Protection Agency,Environmental Protection Agency,Resolve to different Final URLs depending on if www. is included or not
airlant.usff.navy.mil,navy.mil,Department of Defense,Navy,www. required or site not present at targeted address
airman.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
airnow.gov,airnow.gov,Environmental Protection Agency,Environmental Protection Agency,Resolve to different Final URLs depending on if www. is included or not
airpac.navy.mil,navy.mil,Department of Defense,Navy,www. required
albany.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required or site not present at targeted address
alpenacrtc.ang.af.mil,af.mil,Department of Defense,Air Force,www. required
alpha-api.urs.eosdis.nasa.gov,nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,www. required or site not present at targeted address
alpha.urs.eosdis.nasa.gov,nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,www. required or site not present at targeted address
alsa.mil,alsa.mil,Department of Defense,,www. required
altus.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
alzheimers.gov,alzheimers.gov,Department of Health and Human Services,"National Institutes on Aging, NIH",www. breaks
ambismobile.niaid.nih.gov,nih.gov,Department of Health and Human Services,National Institutes of Health,www. required or site not present at targeted address
ambismobileqa.niaid.nih.gov,nih.gov,Department of Health and Human Services,National Institutes of Health,www. required or site not present at targeted address
amc.af.mil,af.mil,Department of Defense,Air Force,www. required
amc.army.mil,army.mil,Department of Defense,Army,www. required or site not present at targeted address
amcom.army.mil,army.mil,Department of Defense,Army,www. required or site not present at targeted address
ameslab.gov,ameslab.gov,Department of Energy,Ames Laboratory,www. required
amlc.army.mil,army.mil,Department of Defense,Army,www. required or site not present at targeted address
amoc-css.cbp.dhs.gov,dhs.gov,Department of Homeland Security,Headquarters,www. required or site not present at targeted address
amphib7flt.navy.mil,navy.mil,Department of Defense,Navy,www. required or site not present at targeted address
ams.usda.gov,usda.gov,U.S. Department of Agriculture,U.S. Department of Agriculture,www. required
ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
angtec.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
animalresearch.nih.gov,nih.gov,Department of Health and Human Services,National Institutes of Health,Possible scan issue arising META redirect
anl.gov,anl.gov,Department of Energy,Argonne National Laboratory,www. required
annapolis.tricare.mil,tricare.mil,Department of Defense,,Site errors out
aphis.usda.gov,usda.gov,U.S. Department of Agriculture,U.S. Department of Agriculture,www. required
api.rk.tsp.gov,tsp.gov,Federal Retirement Thrift Investment Board,Office of Technology Services,Site errors out
api.urs.eosdis.nasa.gov,nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,www. required or site not present at targeted address
apply.fbijobs.gov,fbijobs.gov,Department of Justice,Federal Bureau of Investigation,www. required
apps-beta.nationalmap.gov,nationalmap.gov,Department of the Interior,U.S. Geological Survey,Possible SSL issues
apps.fcc.gov,fcc.gov,Federal Communications Commission,Federal Communications Commission,Site errors out
ar.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
arcgis.asdc.larc.nasa.gov,nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,www. required or site not present at targeted address
archive.usgs.gov,usgs.gov,Department of the Interior,U.S. Geological Survey,www. required or site not present at targeted address
arcp.army.mil,army.mil,Department of Defense,Army,www. required or site not present at targeted address
arcyber.army.mil,army.mil,Department of Defense,Army,Site errors out
arecibo.jobcorps.gov,jobcorps.gov,Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,Site errors out
arinvestmentsdev.cdc.gov,cdc.gov,Department of Health and Human Services,Centers for Disease Control and Prevention,Site errors out
arm.gov,arm.gov,Department of Energy,Battelle Pacific Northwest National Laboratory,Resolve to different Final URLs depending on if www. is included or not
army.nationalguard.mil,nationalguard.mil,Department of Defense,National Guard,www. required or site not present at targeted address
armyupress.army.mil,army.mil,Department of Defense,Army,www. required or site not present at targeted address
arnold.af.mil,af.mil,Department of Defense,Air Force,www. required
arnorth.army.mil,army.mil,Department of Defense,Army,www. required
arrs.ahrq.gov,ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality,www. required or site not present at targeted address
arrtmc.er.usgs.gov,usgs.gov,Department of the Interior,U.S. Geological Survey,www. required or site not present at targeted address
ars-grin.gov,ars-grin.gov,U.S. Department of Agriculture,Agricultural Research Service,Resolve to different Final URLs depending on if www. is included or not
arsouth.army.mil,army.mil,Department of Defense,Army,www. required or site not present at targeted address
aschq.army.mil,army.mil,Department of Defense,Army,www. required
aspprox1.epa.gov,epa.gov,Environmental Protection Agency,Environmental Protection Agency,www. required or site not present at targeted address
asprprofiles.hhs.gov,hhs.gov,Department of Health and Human Services,Office of the Secretary,www. required or site not present at targeted address
atfonline.gov,atfonline.gov,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",Resolve to different Final URLs depending on if www. is included or not
atlashep.anl.gov,anl.gov,Department of Energy,Argonne National Laboratory,www. required or site not present at targeted address
atms.fleta.gov,fleta.gov,Department of Homeland Security,Federal Law Enforcement Training Center,Possible scan issue arising META redirect
atsdr.cdc.gov,cdc.gov,Department of Health and Human Services,Centers for Disease Control and Prevention,www. required
atterbury.jobcorps.gov,jobcorps.gov,Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,Site errors out
auth.tva.gov,tva.gov,Tennessee Valley Authority,TVA IT,Site errors out
autochoice.fas.gsa.gov,gsa.gov,General Services Administration,"GSA, IDI, ECAS II",www. required or site not present at targeted address
aviation.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
avmc.army.mil,army.mil,Department of Defense,Army,www. required or site not present at targeted address
aw.nrel.gov,nrel.gov,Department of Energy,National Renewable Energy Laboratory,www. required or site not present at targeted address
awg.army.mil,army.mil,Department of Defense,Army,www. required or site not present at targeted address
azure.acf.hhs.gov,hhs.gov,Department of Health and Human Services,Office of the Secretary,www. required or site not present at targeted address
band.eur.army.mil,army.mil,Department of Defense,Army,www. required
barksdale.af.mil,af.mil,Department of Defense,Air Force,www. required
barracks.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required or site not present at targeted address
basictraining.af.mil,af.mil,Department of Defense,Air Force,www. required
bcgcfm5.ncifcrf.gov,ncifcrf.gov,Department of Health and Human Services,"Enterprise Information Technology, NIH",www. required or site not present at targeted address
beale.af.mil,af.mil,Department of Defense,Air Force,www. required
beaufort.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required or site not present at targeted address
benefits-tool-beta.usa.gov,usa.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",www. required or site not present at targeted address
benefits.vba.va.gov,va.gov,Department of Veterans Affairs,"Office of Information and Technology, IT Operations and Services (ITOPS)",www. required or site not present at targeted address
beoc.ccs.esmo.nasa.gov,nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,www. required or site not present at targeted address
beready.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
beta-api.urs.eosdis.nasa.gov,nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,www. required or site not present at targeted address
beta-ut.clinicaltrials.gov,clinicaltrials.gov,Department of Health and Human Services,"National Library of Medicine, NIH",Site errors out
beta.fpds.gov,fpds.gov,General Services Administration,"GSA, IQ-FPDS-FPDS Portal",Possible scan issue arising META redirect
beta.onrr.gov,onrr.gov,Department of the Interior,Minerals Management Service,www. required or site not present at targeted address
beta.urs.eosdis.nasa.gov,nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,www. required or site not present at targeted address
