final_url,final_url_domain,final_url_website,target_url_agency_owner,target_url_bureau_owner,dap_detected_final_url
https://7-seas.gsfc.nasa.gov/,nasa.gov,7-seas.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://7bm.xray.aps.anl.gov/,anl.gov,7bm.xray.aps.anl.gov,Department of Energy,Argonne National Laboratory,FALSE
https://7id.xray.aps.anl.gov/,anl.gov,7id.xray.aps.anl.gov,Department of Energy,Argonne National Laboratory,FALSE
https://7trestingstate.ctss.nih.gov/,nih.gov,7trestingstate.ctss.nih.gov,Department of Health and Human Services,National Institutes of Health,FALSE
https://889.smartpay.gsa.gov/#/,gsa.gov,889.smartpay.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",TRUE
https://8astars.fas.gsa.gov/GWACPriceTool/priceFilter/create,gsa.gov,8astars.fas.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",TRUE
https://9-11commission.gov/,9-11commission.gov,9-11commission.gov,National Archives and Records Administration,National Archives and Records Administration,FALSE
https://911commission.gov/,911commission.gov,911commission.gov,National Archives and Records Administration,National Archives and Records Administration,FALSE
https://988lifeline.org/,988lifeline.org,988lifeline.org,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,FALSE
https://a2e.energy.gov/home,energy.gov,a2e.energy.gov,Department of Energy,"US Department of Energy, Office of the CIO",FALSE
https://aab.larc.nasa.gov/,nasa.gov,aab.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://aad.archives.gov/aad/index.jsp,archives.gov,aad.archives.gov,National Archives and Records Administration,National Archives and Records Administration,TRUE
https://aaplan-api.usaid.gov/,usaid.gov,aaplan-api.usaid.gov,U.S. Agency for International Development,M/CIO,FALSE
https://aaplan-api2.usaid.gov/,usaid.gov,aaplan-api2.usaid.gov,U.S. Agency for International Development,M/CIO,FALSE
https://aaplan.usaid.gov/,usaid.gov,aaplan.usaid.gov,U.S. Agency for International Development,M/CIO,FALSE
https://aaplandev-api-training.usaid.gov/,usaid.gov,aaplandev-api-training.usaid.gov,U.S. Agency for International Development,M/CIO,FALSE
https://aaplandev-api2-integration.usaid.gov/,usaid.gov,aaplandev-api2-integration.usaid.gov,U.S. Agency for International Development,M/CIO,FALSE
https://aaplandev-api2-training.usaid.gov/,usaid.gov,aaplandev-api2-training.usaid.gov,U.S. Agency for International Development,M/CIO,FALSE
https://aaplandev-integration.usaid.gov/,usaid.gov,aaplandev-integration.usaid.gov,U.S. Agency for International Development,M/CIO,FALSE
https://aaplandev-training.usaid.gov/,usaid.gov,aaplandev-training.usaid.gov,U.S. Agency for International Development,M/CIO,FALSE
https://aaplandevazure.usaid.gov/,usaid.gov,aaplandevazure.usaid.gov,U.S. Agency for International Development,M/CIO,FALSE
https://aas.gsa.gov/,gsa.gov,aas.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",TRUE
https://aasis.omha.hhs.gov/,hhs.gov,aasis.omha.hhs.gov,Department of Health and Human Services,Office of the Secretary,TRUE
https://abandonedmines.gov/,abandonedmines.gov,abandonedmines.gov,Department of the Interior,Bureau of Land Management,FALSE
https://abarrshvuat.ofac.treas.gov/,treas.gov,abarrshvuat.ofac.treas.gov,Department of the Treasury,Department of the Treasury - DO,FALSE
https://abc.lbl.gov/,lbl.gov,abc.lbl.gov,Department of Energy,Lawrence Berkeley National Laboratory,FALSE
https://abclab.jpl.nasa.gov/,nasa.gov,abclab.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://abilityone.gov/,abilityone.gov,abilityone.gov,United States AbilityOne,Committee for Purchase From People Who Are Blind or Severely Disabled,FALSE
https://abmc.gov/,abmc.gov,abmc.gov,American Battle Monuments Commission,American Battle Monuments Commission,TRUE
https://about.lanl.gov/lanl-resources/,lanl.gov,about.lanl.gov,Department of Energy,Los Alamos National Laboratory,FALSE
https://about.usps.com/who/profile/history/postmaster-finder/,usps.com,about.usps.com,United States Postal Service,U.S. Postal Service,TRUE
https://aboutusa.japan.usembassy.gov/,usembassy.gov,aboutusa.japan.usembassy.gov,Department of State,Bureau of Global Public Affairs (GPA),FALSE
https://above.nasa.gov/,nasa.gov,above.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://abp.cr.usgs.gov/,usgs.gov,abp.cr.usgs.gov,Department of the Interior,U.S. Geological Survey,TRUE
https://abpdu.lbl.gov/,lbl.gov,abpdu.lbl.gov,Department of Energy,Lawrence Berkeley National Laboratory,FALSE
https://ac-1.dot.gov/+CSCOE+/logon.html?fcadbadd=1,dot.gov,ac-1.dot.gov,Department of Transportation,United States Department of Transportation,FALSE
https://ac-2.dot.gov/+CSCOE+/logon.html?fcadbadd=1#form_title_text,dot.gov,ac-2.dot.gov,Department of Transportation,United States Department of Transportation,FALSE
https://ac.dot.gov/+CSCOE+/logon.html?fcadbadd=1,dot.gov,ac.dot.gov,Department of Transportation,United States Department of Transportation,FALSE
https://accelerate.hhs.gov/authentication/login?returnUrl=%2F,hhs.gov,accelerate.hhs.gov,Department of Health and Human Services,Office of the Secretary,FALSE
https://access.ginniemae.gov/auth?bmctx=21B9BD0FB7F1DF211D16B47C89EF7D016EA6750BE78367E759826F5C5D09FD15&password=secure_string&contextType=external&ssoCookie=secure&username=string&challenge_url=https%3A%2F%2Faccess.ginniemae.gov%2Fauth&request_id=-2713964848529457915&authn_try_count=0&locale=en_US&resource_url=%252Fuser%252Floginsso,ginniemae.gov,access.ginniemae.gov,Department of Housing and Urban Development,Government National Mortgage Association,FALSE
https://access1.max.gov/+CSCOE+/logon.html?a0=86&a1=&a2=&a3=1&reason=1#form_title_text,max.gov,access1.max.gov,Executive Office of the President,"Office of Management and Budget, Budget Review Division",FALSE
https://access2.bpa.gov/+CSCOE+/logon.html?fcadbadd=1,bpa.gov,access2.bpa.gov,Department of Energy,Bonneville Power Administration,FALSE
https://access2.max.gov/+CSCOE+/logon.html?a0=86&a1=&a2=&a3=1&reason=1#form_title_text,max.gov,access2.max.gov,Executive Office of the President,"Office of Management and Budget, Budget Review Division",FALSE
https://access3.max.gov/+CSCOE+/logon.html?a0=86&a1=&a2=&a3=1&reason=1#form_title_text,max.gov,access3.max.gov,Executive Office of the President,"Office of Management and Budget, Budget Review Division",FALSE
https://accessclinicaldata.niaid.nih.gov/,nih.gov,accessclinicaldata.niaid.nih.gov,Department of Health and Human Services,National Institutes of Health,TRUE
https://accessdev.nsf.gov/CACHE/sdesktop/install/start.htm,nsf.gov,accessdev.nsf.gov,National Science Foundation,National Science Foundation,FALSE
https://accessgudid.awsprod.nlm.nih.gov/,nih.gov,accessgudid.awsprod.nlm.nih.gov,Department of Health and Human Services,National Institutes of Health,FALSE
https://accessgudid.nlm.nih.gov/,nih.gov,accessgudid.nlm.nih.gov,Department of Health and Human Services,National Institutes of Health,TRUE
https://accessibility.18f.gov/,18f.gov,accessibility.18f.gov,General Services Administration,"GSA, TTS",TRUE
https://accessibility.digital.gov/,digital.gov,accessibility.digital.gov,General Services Administration,"GSA, TTS",TRUE
https://accesstest.trade.gov/login.aspx,trade.gov,accesstest.trade.gov,Department of Commerce,International Trade Administration,TRUE
https://account.americorps.gov/,americorps.gov,account.americorps.gov,Corporation for National & Community Service,AmeriCorps,FALSE
https://account.ncbi.nlm.nih.gov/,nih.gov,account.ncbi.nlm.nih.gov,Department of Health and Human Services,National Institutes of Health,TRUE
https://accountcreation.cftc.gov/CFTCAccount.aspx,cftc.gov,accountcreation.cftc.gov,Commodity Futures Trading Commission,U.S. Commodity Futures Trading Commission,TRUE
https://accounts.ahrq.gov/am/forgot_password.jsp;jsessionid=ck2jXfRvaBWZgjDCCY7OsSuc2KF-57mh7NW3aKLtyfLPyRsjg_kq!300406902,ahrq.gov,accounts.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality,FALSE
https://accounts.alcf.anl.gov/#/home,anl.gov,accounts.alcf.anl.gov,Department of Energy,Argonne National Laboratory,FALSE
https://accounts.cels.anl.gov/#/login,anl.gov,accounts.cels.anl.gov,Department of Energy,Argonne National Laboratory,FALSE
https://accounts.google.com/v3/signin/identifier?dsh=S-1777659550%3A1686359529301007&continue=https%3A%2F%2Fsites.google.com%2F&ffgf=1&followup=https%3A%2F%2Fsites.google.com%2F&ifkv=Af_xneG_Zib3MYrXxZGT7k1tYzhdBcI7Cxg8aWO1TFvezbZvmD0Lw307GCAYZTzXJNUCs3W1aGzaRw&passive=1209600&service=jotspot&flowName=GlifWebSignIn&flowEntry=ServiceLogin,google.com,accounts.google.com,Department of State,Bureau of Information Resources Management (IRM),FALSE
https://accounts.lb.csp.noaa.gov/,noaa.gov,accounts.lb.csp.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration,FALSE
https://accounts.lcrc.anl.gov/#/login,anl.gov,accounts.lcrc.anl.gov,Department of Energy,Argonne National Laboratory,FALSE
https://accounts.noaa.gov/,noaa.gov,accounts.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration,FALSE
https://accpiv.treasury.gov/x509/,treasury.gov,accpiv.treasury.gov,Department of the Treasury,Department of the Treasury - OCIO,FALSE
https://accs.cap.gov/,cap.gov,accs.cap.gov,Department of Defense,"CIVIL AIR PATROL, USAF AUX.",FALSE
https://accsso.treasury.gov/login/login.jsp?error=https://accsso.treasury.gov/,treasury.gov,accsso.treasury.gov,Department of the Treasury,Department of the Treasury - OCIO,FALSE
https://acd-ext.gsfc.nasa.gov/,nasa.gov,acd-ext.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://acd-pub.gsfc.nasa.gov/,nasa.gov,acd-pub.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://acd.od.nih.gov/,nih.gov,acd.od.nih.gov,Department of Health and Human Services,National Institutes of Health,TRUE
https://ace-d6.cbp.gov/s/login/?ec=302&startURL=%2Fs%2F,cbp.gov,ace-d6.cbp.gov,Department of Homeland Security,U.S. Customs and Border Protection,TRUE
https://ace.cbp.gov/s/login/?ec=302&startURL=%2Fs%2F,cbp.gov,ace.cbp.gov,Department of Homeland Security,U.S. Customs and Border Protection,TRUE
https://acetool.commerce.gov/,commerce.gov,acetool.commerce.gov,Department of Commerce,Depatment of Commerce,TRUE
https://acfmain-stage.acf.hhs.gov/,hhs.gov,acfmain-stage.acf.hhs.gov,Department of Health and Human Services,Office of the Secretary,TRUE
https://achilles.nascom.nasa.gov/,nasa.gov,achilles.nascom.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aci.nichd.nih.gov/,nih.gov,aci.nichd.nih.gov,Department of Health and Human Services,National Institutes of Health,FALSE
https://acis.eoir.justice.gov/,justice.gov,acis.eoir.justice.gov,Department of Justice,U.S. Department of Justice,FALSE
https://ack.usaccess.gsa.gov/,gsa.gov,ack.usaccess.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",FALSE
https://acl.gov/,acl.gov,acl.gov,Department of Health and Human Services,Administration for Community Living,TRUE
https://acmt.bis.doc.gov/cmt/login,doc.gov,acmt.bis.doc.gov,Department of Commerce,Office of the Chief Information Officer,FALSE
https://acode-browser.usatlas.bnl.gov/,bnl.gov,acode-browser.usatlas.bnl.gov,Department of Energy,Brookhaven National Laboratory,FALSE
https://acode-browser2.usatlas.bnl.gov/,bnl.gov,acode-browser2.usatlas.bnl.gov,Department of Energy,Brookhaven National Laboratory,FALSE
https://acoms-impl.cms.gov/,cms.gov,acoms-impl.cms.gov,Department of Health and Human Services,Centers for Medicare and Medicaid Services,FALSE
https://acoms.cms.gov/,cms.gov,acoms.cms.gov,Department of Health and Human Services,Centers for Medicare and Medicaid Services,FALSE
https://acq-map.od.nih.gov/,nih.gov,acq-map.od.nih.gov,Department of Health and Human Services,National Institutes of Health,TRUE
https://acquisition.jpl.nasa.gov/,nasa.gov,acquisition.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://acquisitionacademy.va.gov/,va.gov,acquisitionacademy.va.gov,Department of Veterans Affairs,"Office of Information and Technology, IT Operations and Services (ITOPS)",TRUE
https://acquisitiongateway.gov/,acquisitiongateway.gov,acquisitiongateway.gov,General Services Administration,"GSA, FAS, Office of Enterprise Strategy Management",FALSE
https://acquisitions.jpl.nasa.gov/,nasa.gov,acquisitions.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://acquisitions.usajobs.gov/Search/Results?j=1102&s=relevance&sd=asc&p=1,usajobs.gov,acquisitions.usajobs.gov,Office of Personnel Management,OPM Human Resource Solutions,TRUE
https://acsl.ars.usda.gov/,usda.gov,acsl.ars.usda.gov,U.S. Department of Agriculture,USDA,FALSE
https://act24.nci.nih.gov/move/?the_page=/&the_params=,nih.gov,act24.nci.nih.gov,Department of Health and Human Services,National Institutes of Health,FALSE
https://actev.nist.gov/,nist.gov,actev.nist.gov,Department of Commerce,National Institute of Standards and Technology (NIST),TRUE
https://actiontracker-jpss.nesdis.noaa.gov/_login/default.aspx?ReturnUrl=%2f_layouts%2f15%2fAuthenticate.aspx%3fSource%3d%252F&Source=%2F,noaa.gov,actiontracker-jpss.nesdis.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration,FALSE
https://activate.larc.nasa.gov/,nasa.gov,activate.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://actribe.nsopw.gov/,nsopw.gov,actribe.nsopw.gov,Department of Justice,"U.S. Department of Justice, Office of Justice Programs",FALSE
https://actuary.defense.gov/,defense.gov,actuary.defense.gov,Department of Defense,Defense Media Activity,TRUE
https://actuary.usajobs.gov/Search/Results?j=1510&s=relevance&sd=asc&p=1,usajobs.gov,actuary.usajobs.gov,Office of Personnel Management,OPM Human Resource Solutions,TRUE
https://ad-esh.fnal.gov/,fnal.gov,ad-esh.fnal.gov,Department of Energy,Fermi National Accelerator Laboratory,FALSE
https://ad-poc-humble-duiker-sb.app.cloud.gov/,cloud.gov,ad-poc-humble-duiker-sb.app.cloud.gov,General Services Administration,"GSA, TTS",TRUE
https://ad.fnal.gov/,fnal.gov,ad.fnal.gov,Department of Energy,Fermi National Accelerator Laboratory,FALSE
https://adc.arm.gov/discovery/#/,arm.gov,adc.arm.gov,Department of Energy,Battelle Pacific Northwest National Laboratory,FALSE
https://addiction.surgeongeneral.gov/,surgeongeneral.gov,addiction.surgeongeneral.gov,Department of Health and Human Services,"Office of the Surgeon General, Office of the Secretary",FALSE
https://address.ncjrs.gov/,ncjrs.gov,address.ncjrs.gov,Department of Justice,United States Department of Justice,FALSE
https://adf.gov/,adf.gov,adf.gov,United States African Development Foundation,African Development Foundation,FALSE
https://adfs.nsf.gov/adfs/ls?wa=wsignin1.0&wtrealm=urn%3ansf%3asp2016%3aprod%3aext&wctx=https%3a%2f%2fextsharepoint.nsf.gov%2f_layouts%2f15%2fAuthenticate.aspx%3fSource%3d%252F&wreply=https%3a%2f%2fextsharepoint.nsf.gov%2f_trust%2fdefault.aspx,nsf.gov,adfs.nsf.gov,National Science Foundation,National Science Foundation,FALSE
https://adfs.pnnl.gov:49443/adfs/ls/IdpInitiatedSignOn.aspx/?loginToRP=urn:amazon:webservices&client-request-id=41ba050e-6f27-46e7-9800-008001300075,pnnl.gov,adfs.pnnl.gov:49443,Department of Energy,Pacific Northwest National Laboratory,FALSE
https://adfs.usaid.gov/adfs/ls/?wtrealm=urn%3aNonDisIdentityServerProd&wctx=WsFedOwinState%3daSb42c_YbXv9tonch9Cf7X9M0XDBh9AIdolV1gEAIhwolKHpxOejBTlJKAenex3iRwFes-rDhb120uVCMjoh0i0aKWM-iGrPQVnS29437hm5lYH9JyHzpG5T_foMoyV6A0CYb8UZrhiFvOBUEmInZ3abIZTncQC0AepuqBb-hFsb61fxpg8KJHUK-sX0Oj-3ETJfh2OVEjHvi2n6FWUYug&wa=wsignin1.0,usaid.gov,adfs.usaid.gov,U.S. Agency for International Development,M/CIO,FALSE
https://adfs2.pnnl.gov/adfs/ls/IdpInitiatedSignOn.aspx?RelayState=RPID=https://www.benefitsolver.com/saml20,pnnl.gov,adfs2.pnnl.gov,Department of Energy,Pacific Northwest National Laboratory,FALSE
https://adgsupport.state.gov/hc/en-us,state.gov,adgsupport.state.gov,Department of State,Bureau of Global Public Affairs (GPA),FALSE
https://adlnet.gov/,adlnet.gov,adlnet.gov,Department of Defense,Advanced Distributed Learning Initiative,TRUE
https://admin-ovcncvrw.ncjrs.gov/ovcadmin/adminLogin.aspx,ncjrs.gov,admin-ovcncvrw.ncjrs.gov,Department of Justice,United States Department of Justice,FALSE
https://adms.fnal.gov/,fnal.gov,adms.fnal.gov,Department of Energy,Fermi National Accelerator Laboratory,FALSE
https://adoptahorse.blm.gov/,blm.gov,adoptahorse.blm.gov,Department of the Interior,Bureau of Land Management - Main Domain,FALSE
https://adp.noaa.gov/,noaa.gov,adp.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration,FALSE
https://adr.gov/,adr.gov,adr.gov,Federal Mediation and Conciliation Service,Office of Conflict Management and Prevention,FALSE
https://ads.state.gov/Home/Workflows,state.gov,ads.state.gov,Department of State,Bureau of Global Public Affairs (GPA),FALSE
https://adsorption.nist.gov/index.php#home,nist.gov,adsorption.nist.gov,Department of Commerce,National Institute of Standards and Technology (NIST),TRUE
https://adt.larc.nasa.gov/,nasa.gov,adt.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://advancedprojects.pppl.gov/,pppl.gov,advancedprojects.pppl.gov,Department of Energy,Princeton Plasma Physics Lab,FALSE
https://adviserinfo.sec.gov/,sec.gov,adviserinfo.sec.gov,Securities and Exchange Commission,Network Operations Branch,FALSE
https://advocacy.sba.gov/,sba.gov,advocacy.sba.gov,Small Business Administration,U.S. Small Business Administration,FALSE
https://aed.ksc.nasa.gov/,nasa.gov,aed.ksc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://aedt.faa.gov/,faa.gov,aedt.faa.gov,Department of Transportation,Federal Aviation Administration,FALSE
https://aefla.ed.gov/,ed.gov,aefla.ed.gov,Department of Education,Office of Chief Information Officer,TRUE
https://aeon.hosc.msfc.nasa.gov/,nasa.gov,aeon.hosc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aeonivv2.hosc.msfc.nasa.gov/,nasa.gov,aeonivv2.hosc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aeonivv2ms.hosc.msfc.nasa.gov/,nasa.gov,aeonivv2ms.hosc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aeonivv2owa.hosc.msfc.nasa.gov/,nasa.gov,aeonivv2owa.hosc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aeonivv2sk.hosc.msfc.nasa.gov/,nasa.gov,aeonivv2sk.hosc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aeonivv2sp.hosc.msfc.nasa.gov/,nasa.gov,aeonivv2sp.hosc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aeonms.hosc.msfc.nasa.gov/,nasa.gov,aeonms.hosc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aeonodte.hosc.msfc.nasa.gov/,nasa.gov,aeonodte.hosc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aeonowa.hosc.msfc.nasa.gov/,nasa.gov,aeonowa.hosc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aeonsk.hosc.msfc.nasa.gov/,nasa.gov,aeonsk.hosc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aeonsp.hosc.msfc.nasa.gov/,nasa.gov,aeonsp.hosc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aep.airports.faa.gov/Default.aspx,faa.gov,aep.airports.faa.gov,Department of Transportation,Federal Aviation Administration,FALSE
https://aero-fp.larc.nasa.gov/,nasa.gov,aero-fp.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aero.larc.nasa.gov/,nasa.gov,aero.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://aerocenter.gsfc.nasa.gov/,nasa.gov,aerocenter.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://aeroelasticity.larc.nasa.gov/,nasa.gov,aeroelasticity.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://aeronet.gsfc.nasa.gov/,nasa.gov,aeronet.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://aes.faa.gov/,faa.gov,aes.faa.gov,Department of Transportation,Federal Aviation Administration,FALSE
https://aesics.cr.usgs.gov/,usgs.gov,aesics.cr.usgs.gov,Department of the Interior,U.S. Geological Survey,FALSE
https://aesir.gsfc.nasa.gov/,nasa.gov,aesir.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aether.lbl.gov/,lbl.gov,aether.lbl.gov,Department of Energy,Lawrence Berkeley National Laboratory,FALSE
https://afd.defense.gov/,defense.gov,afd.defense.gov,Department of Defense,Defense Media Activity,TRUE
https://afdc.energy.gov/,energy.gov,afdc.energy.gov,Department of Energy,"US Department of Energy, Office of the CIO",TRUE
https://affordableconnectivity.gov/,affordableconnectivity.gov,affordableconnectivity.gov,Federal Communications Commission,Office of the Managing Director,FALSE
https://afm.fmi.gov/account/login,fmi.gov,afm.fmi.gov,General Services Administration,"GSA, IC, OGP WebPortfolio",FALSE
https://afmss.blm.gov/,blm.gov,afmss.blm.gov,Department of the Interior,Bureau of Land Management - Main Domain,FALSE
https://afmss.training.blm.gov/,blm.gov,afmss.training.blm.gov,Department of the Interior,Bureau of Land Management - Main Domain,FALSE
https://afni.nimh.nih.gov/,nih.gov,afni.nimh.nih.gov,Department of Health and Human Services,National Institutes of Health,TRUE
https://afsc-hq-mil-tac.ecfr.gov/,ecfr.gov,afsc-hq-mil-tac.ecfr.gov,Government Publishing Office,US Government Publishing Office,TRUE
https://agclass.nal.usda.gov/,usda.gov,agclass.nal.usda.gov,U.S. Department of Agriculture,USDA,TRUE
https://age.edc.usda.gov/vpn/index.html,usda.gov,age.edc.usda.gov,U.S. Department of Agriculture,USDA,FALSE
https://agencyportal.usajobs.gov/,usajobs.gov,agencyportal.usajobs.gov,Office of Personnel Management,OPM Human Resource Solutions,FALSE
https://agents.floodsmart.gov/,floodsmart.gov,agents.floodsmart.gov,Department of Homeland Security,FEMA,TRUE
https://ageweb.irp.nia.nih.gov/,nih.gov,ageweb.irp.nia.nih.gov,Department of Health and Human Services,National Institutes of Health,FALSE
https://aghealth.nih.gov/,nih.gov,aghealth.nih.gov,Department of Health and Human Services,National Institutes of Health,TRUE
https://agid.acl.gov/,acl.gov,agid.acl.gov,Department of Health and Human Services,Administration for Community Living,TRUE
https://agile.18f.gov/,18f.gov,agile.18f.gov,General Services Administration,"GSA, TTS",TRUE
https://agingresearchbiobank.nia.nih.gov/,nih.gov,agingresearchbiobank.nia.nih.gov,Department of Health and Human Services,National Institutes of Health,FALSE
https://agingstats.gov/,agingstats.gov,agingstats.gov,Department of Health and Human Services,Administration for Community Living,TRUE
https://agisportal.lanl.gov/,lanl.gov,agisportal.lanl.gov,Department of Energy,Los Alamos National Laboratory,FALSE
https://aglearn.usda.gov/,usda.gov,aglearn.usda.gov,U.S. Department of Agriculture,USDA,FALSE
https://agresearchmag.ars.usda.gov/,usda.gov,agresearchmag.ars.usda.gov,U.S. Department of Agriculture,USDA,FALSE
https://ahat.sc.egov.usda.gov/,usda.gov,ahat.sc.egov.usda.gov,U.S. Department of Agriculture,USDA,FALSE
