final_url,final_url_domain,final_url_website,target_url_agency_owner,target_url_bureau_owner,scan_date,dap_detected_final_url
https://aad.archives.gov/aad/index.jsp,archives.gov,aad.archives.gov,National Archives and Records Administration,National Archives and Records Administration,2023-06-10T03:17:15.595Z,TRUE
https://aaplan-api.usaid.gov/,usaid.gov,aaplan-api.usaid.gov,U.S. Agency for International Development,M/CIO,2023-06-10T03:04:53.096Z,FALSE
https://aaplan-api2.usaid.gov/,usaid.gov,aaplan-api2.usaid.gov,U.S. Agency for International Development,M/CIO,2023-06-10T03:05:00.128Z,FALSE
https://aaplan.usaid.gov/,usaid.gov,aaplan.usaid.gov,U.S. Agency for International Development,M/CIO,2023-06-10T03:07:07.234Z,FALSE
https://aaplandev-api-training.usaid.gov/,usaid.gov,aaplandev-api-training.usaid.gov,U.S. Agency for International Development,M/CIO,2023-06-10T03:05:27.950Z,FALSE
https://aaplandev-api2-integration.usaid.gov/,usaid.gov,aaplandev-api2-integration.usaid.gov,U.S. Agency for International Development,M/CIO,2023-06-10T03:05:55.650Z,FALSE
https://aaplandev-api2-training.usaid.gov/,usaid.gov,aaplandev-api2-training.usaid.gov,U.S. Agency for International Development,M/CIO,2023-06-10T03:05:07.798Z,FALSE
https://aaplandev-integration.usaid.gov/,usaid.gov,aaplandev-integration.usaid.gov,U.S. Agency for International Development,M/CIO,2023-06-10T03:07:07.874Z,FALSE
https://aaplandev-training.usaid.gov/,usaid.gov,aaplandev-training.usaid.gov,U.S. Agency for International Development,M/CIO,2023-06-10T03:05:55.627Z,FALSE
https://aaplandevazure.usaid.gov/,usaid.gov,aaplandevazure.usaid.gov,U.S. Agency for International Development,M/CIO,2023-06-10T03:07:49.059Z,FALSE
https://aas.gsa.gov/,gsa.gov,aas.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",2023-06-10T01:23:12.267Z,TRUE
https://aasis.omha.hhs.gov/,hhs.gov,aasis.omha.hhs.gov,Department of Health and Human Services,Office of the Secretary,2023-06-10T01:25:34.115Z,TRUE
https://abandonedmines.gov/,abandonedmines.gov,abandonedmines.gov,Department of the Interior,Bureau of Land Management,2023-06-10T00:27:49.844Z,FALSE
https://abarrshvuat.ofac.treas.gov/,treas.gov,abarrshvuat.ofac.treas.gov,Department of the Treasury,Department of the Treasury - DO,2023-06-10T03:03:28.298Z,FALSE
https://abc.lbl.gov/,lbl.gov,abc.lbl.gov,Department of Energy,Lawrence Berkeley National Laboratory,2023-06-10T03:37:24.161Z,FALSE
https://abclab.jpl.nasa.gov/,nasa.gov,abclab.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T00:36:32.287Z,TRUE
https://abilityone.gov/,abilityone.gov,abilityone.gov,United States AbilityOne,Committee for Purchase From People Who Are Blind or Severely Disabled,2023-06-10T02:07:10.622Z,FALSE
https://abmc.gov/,abmc.gov,abmc.gov,American Battle Monuments Commission,American Battle Monuments Commission,2023-06-10T00:40:01.803Z,TRUE
https://about.lanl.gov/lanl-resources/,lanl.gov,about.lanl.gov,Department of Energy,Los Alamos National Laboratory,2023-06-10T01:35:49.864Z,FALSE
https://about.usps.com/who/profile/history/postmaster-finder/,usps.com,about.usps.com,United States Postal Service,U.S. Postal Service,2023-06-10T03:18:40.627Z,TRUE
https://aboutusa.japan.usembassy.gov/,usembassy.gov,aboutusa.japan.usembassy.gov,Department of State,Bureau of Global Public Affairs (GPA),2023-06-10T03:12:43.573Z,FALSE
https://above.nasa.gov/,nasa.gov,above.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:53:56.207Z,TRUE
https://abp.cr.usgs.gov/,usgs.gov,abp.cr.usgs.gov,Department of the Interior,U.S. Geological Survey,2023-06-10T03:15:40.400Z,TRUE
https://abpdu.lbl.gov/,lbl.gov,abpdu.lbl.gov,Department of Energy,Lawrence Berkeley National Laboratory,2023-06-10T03:37:19.389Z,FALSE
https://ac-1.dot.gov/+CSCOE+/logon.html?fcadbadd=1,dot.gov,ac-1.dot.gov,Department of Transportation,United States Department of Transportation,2023-06-10T02:20:02.956Z,FALSE
https://ac-2.dot.gov/+CSCOE+/logon.html?fcadbadd=1#form_title_text,dot.gov,ac-2.dot.gov,Department of Transportation,United States Department of Transportation,2023-06-10T01:02:54.782Z,FALSE
https://ac.dot.gov/+CSCOE+/logon.html?fcadbadd=1,dot.gov,ac.dot.gov,Department of Transportation,United States Department of Transportation,2023-06-10T01:05:49.038Z,FALSE
https://accelerate.hhs.gov/authentication/login?returnUrl=%2F,hhs.gov,accelerate.hhs.gov,Department of Health and Human Services,Office of the Secretary,2023-06-10T01:25:24.391Z,FALSE
https://access.ginniemae.gov/auth?bmctx=21B9BD0FB7F1DF211D16B47C89EF7D016EA6750BE78367E759826F5C5D09FD15&password=secure_string&contextType=external&ssoCookie=secure&username=string&challenge_url=https%3A%2F%2Faccess.ginniemae.gov%2Fauth&request_id=-2713964848529457915&authn_try_count=0&locale=en_US&resource_url=%252Fuser%252Floginsso,ginniemae.gov,access.ginniemae.gov,Department of Housing and Urban Development,Government National Mortgage Association,2023-06-10T01:22:08.158Z,FALSE
https://access1.max.gov/+CSCOE+/logon.html?a0=86&a1=&a2=&a3=1&reason=1#form_title_text,max.gov,access1.max.gov,Executive Office of the President,"Office of Management and Budget, Budget Review Division",2023-06-10T01:48:08.372Z,FALSE
https://access2.bpa.gov/+CSCOE+/logon.html?fcadbadd=1,bpa.gov,access2.bpa.gov,Department of Energy,Bonneville Power Administration,2023-06-10T00:45:35.711Z,FALSE
https://access2.max.gov/+CSCOE+/logon.html?a0=86&a1=&a2=&a3=1&reason=1#form_title_text,max.gov,access2.max.gov,Executive Office of the President,"Office of Management and Budget, Budget Review Division",2023-06-10T01:50:42.548Z,FALSE
https://access3.max.gov/+CSCOE+/logon.html?a0=86&a1=&a2=&a3=1&reason=1#form_title_text,max.gov,access3.max.gov,Executive Office of the President,"Office of Management and Budget, Budget Review Division",2023-06-10T01:51:31.336Z,FALSE
https://accessclinicaldata.niaid.nih.gov/,nih.gov,accessclinicaldata.niaid.nih.gov,Department of Health and Human Services,National Institutes of Health,2023-06-10T03:58:48.980Z,TRUE
https://accessdev.nsf.gov/CACHE/sdesktop/install/start.htm,nsf.gov,accessdev.nsf.gov,National Science Foundation,National Science Foundation,2023-06-10T02:36:57.500Z,FALSE
https://accessgudid.awsprod.nlm.nih.gov/,nih.gov,accessgudid.awsprod.nlm.nih.gov,Department of Health and Human Services,National Institutes of Health,2023-06-10T02:28:17.963Z,FALSE
https://accessgudid.nlm.nih.gov/,nih.gov,accessgudid.nlm.nih.gov,Department of Health and Human Services,National Institutes of Health,2023-06-10T02:12:44.881Z,TRUE
https://accessibility.18f.gov/,18f.gov,accessibility.18f.gov,General Services Administration,"GSA, TTS",2023-06-10T00:27:06.955Z,TRUE
https://accessibility.digital.gov/,digital.gov,accessibility.digital.gov,General Services Administration,"GSA, TTS",2023-06-10T01:01:05.147Z,TRUE
https://accesstest.trade.gov/login.aspx,trade.gov,accesstest.trade.gov,Department of Commerce,International Trade Administration,2023-06-10T03:33:11.319Z,TRUE
https://account.americorps.gov/,americorps.gov,account.americorps.gov,Corporation for National & Community Service,AmeriCorps,2023-06-10T03:24:09.558Z,FALSE
https://account.ncbi.nlm.nih.gov/,nih.gov,account.ncbi.nlm.nih.gov,Department of Health and Human Services,National Institutes of Health,2023-06-10T03:59:09.084Z,TRUE
https://accountcreation.cftc.gov/CFTCAccount.aspx,cftc.gov,accountcreation.cftc.gov,Commodity Futures Trading Commission,U.S. Commodity Futures Trading Commission,2023-06-10T02:13:04.348Z,TRUE
https://accounts.ahrq.gov/am/forgot_password.jsp;jsessionid=ck2jXfRvaBWZgjDCCY7OsSuc2KF-57mh7NW3aKLtyfLPyRsjg_kq!300406902,ahrq.gov,accounts.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality,2023-06-10T03:33:45.324Z,FALSE
https://accounts.alcf.anl.gov/#/home,anl.gov,accounts.alcf.anl.gov,Department of Energy,Argonne National Laboratory,2023-06-10T00:27:06.937Z,FALSE
https://accounts.cels.anl.gov/#/login,anl.gov,accounts.cels.anl.gov,Department of Energy,Argonne National Laboratory,2023-06-10T00:27:19.059Z,FALSE
https://accounts.google.com/v3/signin/identifier?dsh=S-1777659550%3A1686359529301007&continue=https%3A%2F%2Fsites.google.com%2F&ffgf=1&followup=https%3A%2F%2Fsites.google.com%2F&ifkv=Af_xneG_Zib3MYrXxZGT7k1tYzhdBcI7Cxg8aWO1TFvezbZvmD0Lw307GCAYZTzXJNUCs3W1aGzaRw&passive=1209600&service=jotspot&flowName=GlifWebSignIn&flowEntry=ServiceLogin,google.com,accounts.google.com,Department of State,Bureau of Information Resources Management (IRM),2023-06-10T01:12:11.279Z,FALSE
https://accounts.lb.csp.noaa.gov/,noaa.gov,accounts.lb.csp.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration,2023-06-10T01:41:38.417Z,FALSE
https://accounts.lcrc.anl.gov/#/login,anl.gov,accounts.lcrc.anl.gov,Department of Energy,Argonne National Laboratory,2023-06-10T00:39:48.924Z,FALSE
https://accounts.noaa.gov/,noaa.gov,accounts.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration,2023-06-10T01:40:00.061Z,FALSE
https://accpiv.treasury.gov/x509/,treasury.gov,accpiv.treasury.gov,Department of the Treasury,Department of the Treasury - OCIO,2023-06-10T03:01:27.247Z,FALSE
https://accs.cap.gov/,cap.gov,accs.cap.gov,Department of Defense,"CIVIL AIR PATROL, USAF AUX.",2023-06-10T00:47:09.584Z,FALSE
https://accsso.treasury.gov/login/login.jsp?error=https://accsso.treasury.gov/,treasury.gov,accsso.treasury.gov,Department of the Treasury,Department of the Treasury - OCIO,2023-06-10T03:01:56.981Z,FALSE
https://acd-ext.gsfc.nasa.gov/,nasa.gov,acd-ext.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:53:55.679Z,TRUE
https://acd-pub.gsfc.nasa.gov/,nasa.gov,acd-pub.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T03:27:08.249Z,TRUE
https://acd.od.nih.gov/,nih.gov,acd.od.nih.gov,Department of Health and Human Services,National Institutes of Health,2023-06-10T02:13:30.057Z,TRUE
https://ace-d6.cbp.gov/s/login/?ec=302&startURL=%2Fs%2F,cbp.gov,ace-d6.cbp.gov,Department of Homeland Security,U.S. Customs and Border Protection,2023-06-10T00:31:01.672Z,TRUE
https://ace.cbp.gov/s/login/?ec=302&startURL=%2Fs%2F,cbp.gov,ace.cbp.gov,Department of Homeland Security,U.S. Customs and Border Protection,2023-06-10T03:34:23.639Z,TRUE
https://acetool.commerce.gov/,commerce.gov,acetool.commerce.gov,Department of Commerce,Depatment of Commerce,2023-06-10T00:52:24.549Z,TRUE
https://acfmain-stage.acf.hhs.gov/,hhs.gov,acfmain-stage.acf.hhs.gov,Department of Health and Human Services,Office of the Secretary,2023-06-10T03:40:50.128Z,TRUE
https://achilles.nascom.nasa.gov/,nasa.gov,achilles.nascom.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:53:32.510Z,FALSE
https://aci.nichd.nih.gov/,nih.gov,aci.nichd.nih.gov,Department of Health and Human Services,National Institutes of Health,2023-06-10T02:34:53.441Z,FALSE
https://acis.eoir.justice.gov/,justice.gov,acis.eoir.justice.gov,Department of Justice,U.S. Department of Justice,2023-06-10T03:38:47.286Z,FALSE
https://ack.usaccess.gsa.gov/,gsa.gov,ack.usaccess.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",2023-06-10T01:22:19.787Z,FALSE
https://acl.gov/,acl.gov,acl.gov,Department of Health and Human Services,Administration for Community Living,2023-06-10T00:26:58.863Z,TRUE
https://acmt.bis.doc.gov/cmt/login,doc.gov,acmt.bis.doc.gov,Department of Commerce,Office of the Chief Information Officer,2023-06-10T01:56:19.028Z,FALSE
https://acode-browser.usatlas.bnl.gov/,bnl.gov,acode-browser.usatlas.bnl.gov,Department of Energy,Brookhaven National Laboratory,2023-06-10T00:43:43.871Z,FALSE
https://acode-browser2.usatlas.bnl.gov/,bnl.gov,acode-browser2.usatlas.bnl.gov,Department of Energy,Brookhaven National Laboratory,2023-06-10T00:45:19.405Z,FALSE
https://acoms-impl.cms.gov/,cms.gov,acoms-impl.cms.gov,Department of Health and Human Services,Centers for Medicare and Medicaid Services,2023-06-10T00:52:31.626Z,FALSE
https://acoms.cms.gov/,cms.gov,acoms.cms.gov,Department of Health and Human Services,Centers for Medicare and Medicaid Services,2023-06-10T01:33:42.327Z,FALSE
https://acq-map.od.nih.gov/,nih.gov,acq-map.od.nih.gov,Department of Health and Human Services,National Institutes of Health,2023-06-10T02:03:53.797Z,TRUE
https://acquisition.jpl.nasa.gov/,nasa.gov,acquisition.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:54:43.020Z,TRUE
https://acquisitionacademy.va.gov/,va.gov,acquisitionacademy.va.gov,Department of Veterans Affairs,"Office of Information and Technology, IT Operations and Services (ITOPS)",2023-06-10T03:07:47.740Z,TRUE
https://acquisitiongateway.gov/,acquisitiongateway.gov,acquisitiongateway.gov,General Services Administration,"GSA, FAS, Office of Enterprise Strategy Management",2023-06-10T00:27:38.178Z,FALSE
https://acquisitions.jpl.nasa.gov/,nasa.gov,acquisitions.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T03:20:08.475Z,TRUE
https://acquisitions.usajobs.gov/Search/Results?j=1102&s=relevance&sd=asc&p=1,usajobs.gov,acquisitions.usajobs.gov,Office of Personnel Management,OPM Human Resource Solutions,2023-06-10T03:08:21.556Z,TRUE
https://acsl.ars.usda.gov/,usda.gov,acsl.ars.usda.gov,U.S. Department of Agriculture,USDA,2023-06-10T03:09:19.091Z,FALSE
https://act24.nci.nih.gov/move/?the_page=/&the_params=,nih.gov,act24.nci.nih.gov,Department of Health and Human Services,National Institutes of Health,2023-06-10T02:12:32.872Z,FALSE
https://actev.nist.gov/,nist.gov,actev.nist.gov,Department of Commerce,National Institute of Standards and Technology (NIST),2023-06-10T01:38:12.443Z,TRUE
https://actiontracker-jpss.nesdis.noaa.gov/_login/default.aspx?ReturnUrl=%2f_layouts%2f15%2fAuthenticate.aspx%3fSource%3d%252F&Source=%2F,noaa.gov,actiontracker-jpss.nesdis.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration,2023-06-10T01:41:03.850Z,FALSE
https://activate.larc.nasa.gov/,nasa.gov,activate.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:54:40.849Z,TRUE
https://actribe.nsopw.gov/,nsopw.gov,actribe.nsopw.gov,Department of Justice,"U.S. Department of Justice, Office of Justice Programs",2023-06-10T02:38:01.731Z,FALSE
https://actuary.defense.gov/,defense.gov,actuary.defense.gov,Department of Defense,Defense Media Activity,2023-06-10T00:58:40.232Z,TRUE
https://actuary.usajobs.gov/Search/Results?j=1510&s=relevance&sd=asc&p=1,usajobs.gov,actuary.usajobs.gov,Office of Personnel Management,OPM Human Resource Solutions,2023-06-10T00:28:55.096Z,TRUE
https://ad-esh.fnal.gov/,fnal.gov,ad-esh.fnal.gov,Department of Energy,Fermi National Accelerator Laboratory,2023-06-10T01:16:59.154Z,FALSE
https://ad-poc-humble-duiker-sb.app.cloud.gov/,cloud.gov,ad-poc-humble-duiker-sb.app.cloud.gov,General Services Administration,"GSA, TTS",2023-06-10T02:24:33.804Z,TRUE
https://ad.fnal.gov/,fnal.gov,ad.fnal.gov,Department of Energy,Fermi National Accelerator Laboratory,2023-06-10T01:18:54.397Z,FALSE
https://adc.arm.gov/discovery/#/,arm.gov,adc.arm.gov,Department of Energy,Battelle Pacific Northwest National Laboratory,2023-06-10T00:38:49.999Z,FALSE
https://addiction.surgeongeneral.gov/,surgeongeneral.gov,addiction.surgeongeneral.gov,Department of Health and Human Services,"Office of the Surgeon General, Office of the Secretary",2023-06-10T03:01:15.197Z,FALSE
https://address.ncjrs.gov/,ncjrs.gov,address.ncjrs.gov,Department of Justice,United States Department of Justice,2023-06-10T02:12:39.539Z,FALSE
https://adf.gov/,adf.gov,adf.gov,United States African Development Foundation,African Development Foundation,2023-06-10T00:27:07.877Z,FALSE
https://adfs.nsf.gov/adfs/ls?wa=wsignin1.0&wtrealm=urn%3ansf%3asp2016%3aprod%3aext&wctx=https%3a%2f%2fextsharepoint.nsf.gov%2f_layouts%2f15%2fAuthenticate.aspx%3fSource%3d%252F&wreply=https%3a%2f%2fextsharepoint.nsf.gov%2f_trust%2fdefault.aspx,nsf.gov,adfs.nsf.gov,National Science Foundation,National Science Foundation,2023-06-10T02:26:57.512Z,FALSE
https://adfs.pnnl.gov:49443/adfs/ls/IdpInitiatedSignOn.aspx/?loginToRP=urn:amazon:webservices&client-request-id=41ba050e-6f27-46e7-9800-008001300075,pnnl.gov,adfs.pnnl.gov:49443,Department of Energy,Pacific Northwest National Laboratory,2023-06-10T02:54:44.468Z,FALSE
https://adfs.usaid.gov/adfs/ls/?wtrealm=urn%3aNonDisIdentityServerProd&wctx=WsFedOwinState%3daSb42c_YbXv9tonch9Cf7X9M0XDBh9AIdolV1gEAIhwolKHpxOejBTlJKAenex3iRwFes-rDhb120uVCMjoh0i0aKWM-iGrPQVnS29437hm5lYH9JyHzpG5T_foMoyV6A0CYb8UZrhiFvOBUEmInZ3abIZTncQC0AepuqBb-hFsb61fxpg8KJHUK-sX0Oj-3ETJfh2OVEjHvi2n6FWUYug&wa=wsignin1.0,usaid.gov,adfs.usaid.gov,U.S. Agency for International Development,M/CIO,2023-06-10T03:08:16.366Z,FALSE
https://adfs2.pnnl.gov/adfs/ls/IdpInitiatedSignOn.aspx?RelayState=RPID=https://www.benefitsolver.com/saml20,pnnl.gov,adfs2.pnnl.gov,Department of Energy,Pacific Northwest National Laboratory,2023-06-10T02:47:01.410Z,FALSE
https://adgsupport.state.gov/hc/en-us,state.gov,adgsupport.state.gov,Department of State,Bureau of Global Public Affairs (GPA),2023-06-10T02:57:09.112Z,FALSE
https://adlnet.gov/,adlnet.gov,adlnet.gov,Department of Defense,Advanced Distributed Learning Initiative,2023-06-10T00:27:18.615Z,TRUE
https://admin-ovcncvrw.ncjrs.gov/ovcadmin/adminLogin.aspx,ncjrs.gov,admin-ovcncvrw.ncjrs.gov,Department of Justice,United States Department of Justice,2023-06-10T02:08:51.537Z,FALSE
https://adms.fnal.gov/,fnal.gov,adms.fnal.gov,Department of Energy,Fermi National Accelerator Laboratory,2023-06-10T01:16:02.409Z,FALSE
https://adoptahorse.blm.gov/,blm.gov,adoptahorse.blm.gov,Department of the Interior,Bureau of Land Management - Main Domain,2023-06-10T00:43:38.544Z,FALSE
https://adp.noaa.gov/,noaa.gov,adp.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration,2023-06-10T01:40:15.344Z,FALSE
https://adr.gov/,adr.gov,adr.gov,Federal Mediation and Conciliation Service,Office of Conflict Management and Prevention,2023-06-10T00:27:23.273Z,FALSE
https://ads.state.gov/Home/Workflows,state.gov,ads.state.gov,Department of State,Bureau of Global Public Affairs (GPA),2023-06-10T03:00:30.029Z,FALSE
https://adsorption.nist.gov/index.php#home,nist.gov,adsorption.nist.gov,Department of Commerce,National Institute of Standards and Technology (NIST),2023-06-10T01:37:55.282Z,TRUE
https://adt.larc.nasa.gov/,nasa.gov,adt.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:53:59.850Z,TRUE
https://advancedprojects.pppl.gov/,pppl.gov,advancedprojects.pppl.gov,Department of Energy,Princeton Plasma Physics Lab,2023-06-10T03:29:35.579Z,FALSE
https://adviserinfo.sec.gov/,sec.gov,adviserinfo.sec.gov,Securities and Exchange Commission,Network Operations Branch,2023-06-10T02:55:31.506Z,FALSE
https://advocacy.sba.gov/,sba.gov,advocacy.sba.gov,Small Business Administration,U.S. Small Business Administration,2023-06-10T02:56:53.857Z,FALSE
https://aed.ksc.nasa.gov/,nasa.gov,aed.ksc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:53:11.182Z,TRUE
https://aedt.faa.gov/,faa.gov,aedt.faa.gov,Department of Transportation,Federal Aviation Administration,2023-06-10T01:12:02.143Z,FALSE
https://aefla.ed.gov/,ed.gov,aefla.ed.gov,Department of Education,Office of Chief Information Officer,2023-06-10T03:37:20.160Z,TRUE
https://aeon.hosc.msfc.nasa.gov/,nasa.gov,aeon.hosc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:53:33.248Z,FALSE
https://aeonivv2.hosc.msfc.nasa.gov/,nasa.gov,aeonivv2.hosc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:55:14.649Z,FALSE
https://aeonivv2ms.hosc.msfc.nasa.gov/,nasa.gov,aeonivv2ms.hosc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:54:59.749Z,FALSE
https://aeonivv2owa.hosc.msfc.nasa.gov/,nasa.gov,aeonivv2owa.hosc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:54:36.827Z,FALSE
