final_url,target_url_agency_owner,target_url_bureau_owner,dap_detected_final_url
https://access.ginniemae.gov/auth?bmctx=21B9BD0FB7F1DF211D16B47C89EF7D016EA6750BE78367E759826F5C5D09FD15&password=secure_string&contextType=external&ssoCookie=secure&username=string&challenge_url=https%3A%2F%2Faccess.ginniemae.gov%2Fauth&request_id=-2713964848529457915&authn_try_count=0&locale=en_US&resource_url=%252Fuser%252Floginsso,Department of Housing and Urban Development,Government National Mortgage Association,FALSE
https://access1.max.gov/+CSCOE+/logon.html?a0=86&a1=&a2=&a3=1&reason=1#form_title_text,Executive Office of the President,"Office of Management and Budget, Budget Review Division",FALSE
https://access2.bpa.gov/+CSCOE+/logon.html?fcadbadd=1,Department of Energy,Bonneville Power Administration,FALSE
https://access2.max.gov/+CSCOE+/logon.html?a0=86&a1=&a2=&a3=1&reason=1#form_title_text,Executive Office of the President,"Office of Management and Budget, Budget Review Division",FALSE
https://access3.max.gov/+CSCOE+/logon.html?a0=86&a1=&a2=&a3=1&reason=1#form_title_text,Executive Office of the President,"Office of Management and Budget, Budget Review Division",FALSE
https://accessclinicaldata.niaid.nih.gov/,Department of Health and Human Services,National Institutes of Health,TRUE
https://accessdev.nsf.gov/CACHE/sdesktop/install/start.htm,National Science Foundation,National Science Foundation,FALSE
https://accessgudid.awsprod.nlm.nih.gov/,Department of Health and Human Services,National Institutes of Health,FALSE
https://accessgudid.nlm.nih.gov/,Department of Health and Human Services,National Institutes of Health,TRUE
https://accessibility.18f.gov/,General Services Administration,"GSA, TTS",TRUE
https://accessibility.digital.gov/,General Services Administration,"GSA, TTS",TRUE
https://accesstest.trade.gov/login.aspx,Department of Commerce,International Trade Administration,TRUE
https://account.americorps.gov/,Corporation for National & Community Service,AmeriCorps,FALSE
https://account.ncbi.nlm.nih.gov/,Department of Health and Human Services,National Institutes of Health,TRUE
https://accountcreation.cftc.gov/CFTCAccount.aspx,Commodity Futures Trading Commission,U.S. Commodity Futures Trading Commission,TRUE
https://accounts.ahrq.gov/am/forgot_password.jsp;jsessionid=ck2jXfRvaBWZgjDCCY7OsSuc2KF-57mh7NW3aKLtyfLPyRsjg_kq!300406902,Department of Health and Human Services,Agency for Healthcare Research and Quality,FALSE
https://accounts.alcf.anl.gov/#/home,Department of Energy,Argonne National Laboratory,FALSE
https://accounts.cels.anl.gov/#/login,Department of Energy,Argonne National Laboratory,FALSE
https://accounts.google.com/v3/signin/identifier?dsh=S-1777659550%3A1686359529301007&continue=https%3A%2F%2Fsites.google.com%2F&ffgf=1&followup=https%3A%2F%2Fsites.google.com%2F&ifkv=Af_xneG_Zib3MYrXxZGT7k1tYzhdBcI7Cxg8aWO1TFvezbZvmD0Lw307GCAYZTzXJNUCs3W1aGzaRw&passive=1209600&service=jotspot&flowName=GlifWebSignIn&flowEntry=ServiceLogin,Department of State,Bureau of Information Resources Management (IRM),FALSE
https://accounts.lb.csp.noaa.gov/,Department of Commerce,National Oceanic and Atmospheric Administration,FALSE
https://accounts.lcrc.anl.gov/#/login,Department of Energy,Argonne National Laboratory,FALSE
https://accounts.noaa.gov/,Department of Commerce,National Oceanic and Atmospheric Administration,FALSE
https://accpiv.treasury.gov/x509/,Department of the Treasury,Department of the Treasury - OCIO,FALSE
https://accs.cap.gov/,Department of Defense,"CIVIL AIR PATROL, USAF AUX.",FALSE
https://accsso.treasury.gov/login/login.jsp?error=https://accsso.treasury.gov/,Department of the Treasury,Department of the Treasury - OCIO,FALSE
https://acd-ext.gsfc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://acd-pub.gsfc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://acd.od.nih.gov/,Department of Health and Human Services,National Institutes of Health,TRUE
https://ace-d6.cbp.gov/s/login/?ec=302&startURL=%2Fs%2F,Department of Homeland Security,U.S. Customs and Border Protection,TRUE
https://ace.cbp.gov/s/login/?ec=302&startURL=%2Fs%2F,Department of Homeland Security,U.S. Customs and Border Protection,TRUE
https://acetool.commerce.gov/,Department of Commerce,Depatment of Commerce,TRUE
https://acfmain-stage.acf.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://achilles.nascom.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aci.nichd.nih.gov/,Department of Health and Human Services,National Institutes of Health,FALSE
https://acis.eoir.justice.gov/,Department of Justice,U.S. Department of Justice,FALSE
https://ack.usaccess.gsa.gov/,General Services Administration,"GSA, IDI, ECAS II",FALSE
https://acl.gov/,Department of Health and Human Services,Administration for Community Living,TRUE
https://acmt.bis.doc.gov/cmt/login,Department of Commerce,Office of the Chief Information Officer,FALSE
https://acode-browser.usatlas.bnl.gov/,Department of Energy,Brookhaven National Laboratory,FALSE
https://acode-browser2.usatlas.bnl.gov/,Department of Energy,Brookhaven National Laboratory,FALSE
https://acoms-impl.cms.gov/,Department of Health and Human Services,Centers for Medicare and Medicaid Services,FALSE
https://acoms.cms.gov/,Department of Health and Human Services,Centers for Medicare and Medicaid Services,FALSE
https://acq-map.od.nih.gov/,Department of Health and Human Services,National Institutes of Health,TRUE
https://acquisition.jpl.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://acquisitionacademy.va.gov/,Department of Veterans Affairs,"Office of Information and Technology, IT Operations and Services (ITOPS)",TRUE
https://acquisitiongateway.gov/,General Services Administration,"GSA, FAS, Office of Enterprise Strategy Management",FALSE
https://acquisitions.jpl.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://acquisitions.usajobs.gov/Search/Results?j=1102&s=relevance&sd=asc&p=1,Office of Personnel Management,OPM Human Resource Solutions,TRUE
https://acsl.ars.usda.gov/,U.S. Department of Agriculture,USDA,FALSE
https://act24.nci.nih.gov/move/?the_page=/&the_params=,Department of Health and Human Services,National Institutes of Health,FALSE
https://actev.nist.gov/,Department of Commerce,National Institute of Standards and Technology (NIST),TRUE
https://actiontracker-jpss.nesdis.noaa.gov/_login/default.aspx?ReturnUrl=%2f_layouts%2f15%2fAuthenticate.aspx%3fSource%3d%252F&Source=%2F,Department of Commerce,National Oceanic and Atmospheric Administration,FALSE
https://activate.larc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://actribe.nsopw.gov/,Department of Justice,"U.S. Department of Justice, Office of Justice Programs",FALSE
https://actuary.defense.gov/,Department of Defense,Defense Media Activity,TRUE
https://actuary.usajobs.gov/Search/Results?j=1510&s=relevance&sd=asc&p=1,Office of Personnel Management,OPM Human Resource Solutions,TRUE
https://ad-esh.fnal.gov/,Department of Energy,Fermi National Accelerator Laboratory,FALSE
https://ad-poc-humble-duiker-sb.app.cloud.gov/,General Services Administration,"GSA, TTS",TRUE
https://ad.fnal.gov/,Department of Energy,Fermi National Accelerator Laboratory,FALSE
https://adc.arm.gov/discovery/#/,Department of Energy,Battelle Pacific Northwest National Laboratory,FALSE
https://addiction.surgeongeneral.gov/,Department of Health and Human Services,"Office of the Surgeon General, Office of the Secretary",FALSE
https://address.ncjrs.gov/,Department of Justice,United States Department of Justice,FALSE
https://adf.gov/,United States African Development Foundation,African Development Foundation,FALSE
https://adfs.nsf.gov/adfs/ls?wa=wsignin1.0&wtrealm=urn%3ansf%3asp2016%3aprod%3aext&wctx=https%3a%2f%2fextsharepoint.nsf.gov%2f_layouts%2f15%2fAuthenticate.aspx%3fSource%3d%252F&wreply=https%3a%2f%2fextsharepoint.nsf.gov%2f_trust%2fdefault.aspx,National Science Foundation,National Science Foundation,FALSE
https://adfs.pnnl.gov:49443/adfs/ls/IdpInitiatedSignOn.aspx/?loginToRP=urn:amazon:webservices&client-request-id=41ba050e-6f27-46e7-9800-008001300075,Department of Energy,Pacific Northwest National Laboratory,FALSE
https://adfs.usaid.gov/adfs/ls/?wtrealm=urn%3aNonDisIdentityServerProd&wctx=WsFedOwinState%3daSb42c_YbXv9tonch9Cf7X9M0XDBh9AIdolV1gEAIhwolKHpxOejBTlJKAenex3iRwFes-rDhb120uVCMjoh0i0aKWM-iGrPQVnS29437hm5lYH9JyHzpG5T_foMoyV6A0CYb8UZrhiFvOBUEmInZ3abIZTncQC0AepuqBb-hFsb61fxpg8KJHUK-sX0Oj-3ETJfh2OVEjHvi2n6FWUYug&wa=wsignin1.0,U.S. Agency for International Development,M/CIO,FALSE
https://adfs2.pnnl.gov/adfs/ls/IdpInitiatedSignOn.aspx?RelayState=RPID=https://www.benefitsolver.com/saml20,Department of Energy,Pacific Northwest National Laboratory,FALSE
https://adgsupport.state.gov/hc/en-us,Department of State,Bureau of Global Public Affairs (GPA),FALSE
https://adlnet.gov/,Department of Defense,Advanced Distributed Learning Initiative,TRUE
https://admin-ovcncvrw.ncjrs.gov/ovcadmin/adminLogin.aspx,Department of Justice,United States Department of Justice,FALSE
https://adms.fnal.gov/,Department of Energy,Fermi National Accelerator Laboratory,FALSE
https://adoptahorse.blm.gov/,Department of the Interior,Bureau of Land Management - Main Domain,FALSE
https://adp.noaa.gov/,Department of Commerce,National Oceanic and Atmospheric Administration,FALSE
https://adr.gov/,Federal Mediation and Conciliation Service,Office of Conflict Management and Prevention,FALSE
https://ads.state.gov/Home/Workflows,Department of State,Bureau of Global Public Affairs (GPA),FALSE
https://adsorption.nist.gov/index.php#home,Department of Commerce,National Institute of Standards and Technology (NIST),TRUE
https://adt.larc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://advancedprojects.pppl.gov/,Department of Energy,Princeton Plasma Physics Lab,FALSE
https://adviserinfo.sec.gov/,Securities and Exchange Commission,Network Operations Branch,FALSE
https://advocacy.sba.gov/,Small Business Administration,U.S. Small Business Administration,FALSE
https://aed.ksc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://aedt.faa.gov/,Department of Transportation,Federal Aviation Administration,FALSE
https://aefla.ed.gov/,Department of Education,Office of Chief Information Officer,TRUE
https://aeon.hosc.msfc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aeonivv2.hosc.msfc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aeonivv2ms.hosc.msfc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aeonivv2owa.hosc.msfc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aeonivv2sk.hosc.msfc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aeonivv2sp.hosc.msfc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aeonms.hosc.msfc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aeonodte.hosc.msfc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aeonowa.hosc.msfc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aeonsk.hosc.msfc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aeonsp.hosc.msfc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aep.airports.faa.gov/Default.aspx,Department of Transportation,Federal Aviation Administration,FALSE
https://aero-fp.larc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aero.larc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://aerocenter.gsfc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://aeroelasticity.larc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://aeronet.gsfc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://aes.faa.gov/,Department of Transportation,Federal Aviation Administration,FALSE
https://aesics.cr.usgs.gov/,Department of the Interior,U.S. Geological Survey,FALSE
https://aesir.gsfc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aether.lbl.gov/,Department of Energy,Lawrence Berkeley National Laboratory,FALSE
https://afd.defense.gov/,Department of Defense,Defense Media Activity,TRUE
https://afdc.energy.gov/,Department of Energy,"US Department of Energy, Office of the CIO",TRUE
https://affordableconnectivity.gov/,Federal Communications Commission,Office of the Managing Director,FALSE
https://afm.fmi.gov/account/login,General Services Administration,"GSA, IC, OGP WebPortfolio",FALSE
https://afmss.blm.gov/,Department of the Interior,Bureau of Land Management - Main Domain,FALSE
https://afmss.training.blm.gov/,Department of the Interior,Bureau of Land Management - Main Domain,FALSE
https://afni.nimh.nih.gov/,Department of Health and Human Services,National Institutes of Health,TRUE
https://afsc-hq-mil-tac.ecfr.gov/,Government Publishing Office,US Government Publishing Office,TRUE
https://agclass.nal.usda.gov/,U.S. Department of Agriculture,USDA,TRUE
https://age.edc.usda.gov/vpn/index.html,U.S. Department of Agriculture,USDA,FALSE
https://agencyportal.usajobs.gov/,Office of Personnel Management,OPM Human Resource Solutions,FALSE
https://agents.floodsmart.gov/,Department of Homeland Security,FEMA,TRUE
https://ageweb.irp.nia.nih.gov/,Department of Health and Human Services,National Institutes of Health,FALSE
https://aghealth.nih.gov/,Department of Health and Human Services,National Institutes of Health,TRUE
https://agid.acl.gov/,Department of Health and Human Services,Administration for Community Living,TRUE
https://agile.18f.gov/,General Services Administration,"GSA, TTS",TRUE
https://agingresearchbiobank.nia.nih.gov/,Department of Health and Human Services,National Institutes of Health,FALSE
https://agingstats.gov/,Department of Health and Human Services,Administration for Community Living,TRUE
https://agisportal.lanl.gov/,Department of Energy,Los Alamos National Laboratory,FALSE
https://aglearn.usda.gov/,U.S. Department of Agriculture,USDA,FALSE
https://agresearchmag.ars.usda.gov/,U.S. Department of Agriculture,USDA,FALSE
https://ahat.sc.egov.usda.gov/,U.S. Department of Agriculture,USDA,FALSE
https://ahead.hiv.gov/,Department of Health and Human Services,"Office of the Assistant Secretary for Health, Office of the Secretary",TRUE
https://ahed.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://ahed.smce.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://ai-workshop-2020.jpl.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://ai.fmcsa.dot.gov/,Department of Transportation,United States Department of Transportation,TRUE
https://ai.jpl.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://aiaa-dpw.larc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://aidscape.usaid.gov/,U.S. Agency for International Development,M/CIO,TRUE
https://aidscapeuat.usaid.gov/,U.S. Agency for International Development,M/CIO,TRUE
https://ails.arc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://aim.nrel.gov/,Department of Energy,National Renewable Energy Laboratory,FALSE
https://aims.nesdis.noaa.gov/_login/default.aspx?ReturnUrl=%2f_layouts%2f15%2fAuthenticate.aspx%3fSource%3d%252F&Source=%2F,Department of Commerce,National Oceanic and Atmospheric Administration,FALSE
https://aipl.arsusda.gov/,U.S. Department of Agriculture,Agricultural Research Service,FALSE
https://aiptest.rma.usda.gov/,U.S. Department of Agriculture,USDA,FALSE
https://air538.app.cloud.gov/,General Services Administration,"GSA, TTS",TRUE
https://airbornescience.jpl.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://airbornescience.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://airc.nist.gov/home,Department of Commerce,National Institute of Standards and Technology (NIST),TRUE
https://aircrafticing.grc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://airforce.usajobs.gov/,Office of Personnel Management,OPM Human Resource Solutions,TRUE
https://airknowledge.gov/,Environmental Protection Agency,U.S. Environmental Protection Agency,TRUE
https://airleakage-calc.ornl.gov/#/,Department of Energy,Oak Ridge National Laboratory,FALSE
https://airmoss.jpl.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://airmoss.ornl.gov/,Department of Energy,Oak Ridge National Laboratory,TRUE
https://airnow-green.app.cloud.gov/,General Services Administration,"GSA, TTS",TRUE
https://airquality.gsfc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://airquality.lanl.gov/,Department of Energy,Los Alamos National Laboratory,FALSE
https://airquality.weather.gov/,Department of Commerce,National Oceanic and Atmospheric Administration,FALSE
https://airrange.ssc.nasa.gov/WarningBanner/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://airs.jpl.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://airsar.jpl.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://airsl0.gesdisc.eosdis.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://airsl1.gesdisc.eosdis.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://airsl2.gesdisc.eosdis.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://airsnrt.jpl.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://airsnrt2.jpl.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://airsteam.jpl.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://ak-chin.nsopw.gov/,Department of Justice,"U.S. Department of Justice, Office of Justice Programs",FALSE
https://ak3.acl.gov/,Department of Health and Human Services,Administration for Community Living,FALSE
https://aka-www.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akadev-ion-www.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akadev-juntossipodemos.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akadev-wecandothis.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akadev1-ion-www.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akadev2-ion-www.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akadev3-ion-www.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akadev4-ion-www.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akadev5-ion-www.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akaprod-betobaccofree.hhs.gov/,Department of Health and Human Services,Office of the Secretary,FALSE
https://akaprod-digitalmedia.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akaprod-hab.hrsa.gov/,Department of Health and Human Services,Health Resources and Services Administration,TRUE
https://akaprod-ion-www.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akaprod-therealcost.betobaccofree.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akaprod-www.foodsafety.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akaprod-www.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akaprod-www.stopbullying.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akastage-hab.hrsa.gov/,Department of Health and Human Services,Health Resources and Services Administration,TRUE
https://akastage-ion-www.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akastage-juntossipodemos.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akastage-therealcost.betobaccofree.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akastage-wecandothis.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akastage-www.foodsafety.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akastage-www.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akastage-www.stopbullying.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akastage.reproductiverights.gov/,Executive Office of the President,Executive Office of the President,TRUE
https://akastage1-ion-www.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akastage2-ion-www.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akastage3-ion-www.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akastage4-ion-www.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akastage5-ion-www.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akatest-ion-www.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akatest1-ion-www.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akatest2-ion-www.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akatest3-ion-www.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akatest4-ion-www.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akatest5-ion-www.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akauat-ion-www.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://akwg.cap.gov/,Department of Defense,"CIVIL AIR PATROL, USAF AUX.",FALSE
https://alaska-mdc.diver.orr.noaa.gov/,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
https://alaska.jobcorps.gov/,Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,FALSE
https://albedomap.lbl.gov/,Department of Energy,Lawrence Berkeley National Laboratory,FALSE
https://alcoholpolicy.niaaa.nih.gov/,Department of Health and Human Services,National Institutes of Health,TRUE
